,video_name,video_year,video_link,name,artist,album,img,duration,tags,missing
89,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Never Tear Us Apart,INXS,Kick,https://lastfm.freetls.fastly.net/i/u/34s/8ee7e426534e4e07a58a62e763870682.png,182000,80s||rock||INXS||pop||australian,False
93,Joyride,2014,https://www.skatevideosite.com/videos/joyride,Little Town Flirt,Del Shannon,Little Town Flirt,https://lastfm.freetls.fastly.net/i/u/34s/bd58514170944747822a40da7245b534.png,165000,60s||oldies||rock n roll||golden oldies||Rock and Roll,False
94,Joyride,2014,https://www.skatevideosite.com/videos/joyride,Sacred Love,Bad Brains,I Against I,https://lastfm.freetls.fastly.net/i/u/34s/6e0bba9d70edb3ebca033d64e0df6ef9.png,0,hardcore||punk||hardcore punk||80s||alternative rock,True
8,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Glaciers Of Ice,Raekwon,Only Built 4 Cuban Linx Instrumentals,https://lastfm.freetls.fastly.net/i/u/34s/c563dc3e858c467ab4c30b7169c3738c.png,85000,Hip-Hop||wu-tang||Raekwon||hip hop||mafioso rap,False
7,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Never Tear Us Apart,INXS,Kick,https://lastfm.freetls.fastly.net/i/u/34s/8ee7e426534e4e07a58a62e763870682.png,182000,80s||rock||INXS||pop||australian,False
6,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Fuck Fox News,Andrew Eliopoulos,,,,,True
5,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Vacuum,Gang Gang Dance,Saint Dymphna,https://lastfm.freetls.fastly.net/i/u/34s/0f44877f81ea443585cd6c9074b9ac0e.png,253000,my bloody valentine||Dreamy||noise||instrumental||Experimental Rock,False
4,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,I Don't Know Dem,Chief Keef,Back From The Dead,https://lastfm.freetls.fastly.net/i/u/34s/00982bab3aae4dacb671a4bf0682624a.png,238000,bop||Gangsta Rap||best song ever||cloud rap||drill,False
3,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Cold,The Cure,Pornography,https://lastfm.freetls.fastly.net/i/u/34s/dcf7ccf93e1c445583ff952f49eb7a5d.png,258000,new wave||post-punk||Gothic Rock||80s||Gothic,False
2,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Stop,Jane's Addiction,Up from the Catacombs: the Best of Jane's Addiction,https://lastfm.freetls.fastly.net/i/u/34s/df1ba9d0fb7544c6c4f071b2f58ef2c8.png,253000,alternative rock||alternative||90s||rock||janes addiction,False
1,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,I Wanna Get High,Cypress Hill,Black Sunday,https://lastfm.freetls.fastly.net/i/u/34s/9f1257a53795675891dad75becddaf11.png,174000,Hip-Hop||rap||hip hop||chillout||Cypress Hill,False
92,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,666,Salem,$KvR3 1,https://lastfm.freetls.fastly.net/i/u/34s/d0c469268ea54d83aed65845aeb89680.png,168000,,True
69,Supreme x Nike SB - KING PUPPY,2016,https://www.skatevideosite.com/videos/supreme-x-nike-sb-king-puppy,Intruder,Van Halen,Diver Down,https://lastfm.freetls.fastly.net/i/u/34s/c5db3f1484ff463883a6aecd5f5b9915.png,134000,hard rock||rock||classic rock||instrumental||heavy metal,False
150,Supreme x Nike SB - KING PUPPY,2016,https://www.skatevideosite.com/videos/supreme-x-nike-sb-king-puppy,Tonz 'O' Gunz,Gang Starr,Hard To Earn,https://lastfm.freetls.fastly.net/i/u/34s/dcba882e1444484f9442d5f7a283f604.png,235000,hip hop||Hip-Hop||rap||Gang Starr||conscious hip-hop,False
151,Supreme x Nike SB - KING PUPPY,2016,https://www.skatevideosite.com/videos/supreme-x-nike-sb-king-puppy,Intruder,Van Halen,Diver Down,https://lastfm.freetls.fastly.net/i/u/34s/c5db3f1484ff463883a6aecd5f5b9915.png,134000,hard rock||rock||classic rock||instrumental||heavy metal,False
70,Supreme x Nike SB - KING PUPPY,2016,https://www.skatevideosite.com/videos/supreme-x-nike-sb-king-puppy,(Oh) Pretty Woman,Van Halen,Diver Down,https://lastfm.freetls.fastly.net/i/u/34s/c5db3f1484ff463883a6aecd5f5b9915.png,173000,hard rock||rock||cover||classic rock||80s,False
68,Supreme x Nike SB - KING PUPPY,2016,https://www.skatevideosite.com/videos/supreme-x-nike-sb-king-puppy,Tonz 'O' Gunz,Gang Starr,Hard To Earn,https://lastfm.freetls.fastly.net/i/u/34s/dcba882e1444484f9442d5f7a283f604.png,235000,hip hop||Hip-Hop||rap||Gang Starr||conscious hip-hop,False
